Calendario FANTA LEGA-CULO 8.0;;;;;;;;;;
1ª Giornata lega;;3ª Giornata serie a;;;;;;;;
NIENTE MALE;73,5;61;CM MINNESOTA;2-0;;;;;;
I FANALINI;65,5;65,5;OTTAVO;0-0;;;;;;
GORGEOUS FC;69;77;TURKISH PIZZA&KEBAB DI USLU ISMAIL;1-2;;;;;;
FININVEST FC;71,5;67,5;ALNITAKERS;1-1;;;;;;
KAPADOKYA  FC;79;81;PINK PANTHER;3-3;;;;;;
2ª Giornata lega;;4ª Giornata serie a;;;;;;;;
OTTAVO;70;68,5;NIENTE MALE;1-1;;;;;;
ALNITAKERS;72;73,5;KAPADOKYA  FC;2-2;;;;;;
TURKISH PIZZA&KEBAB DI USLU ISMAIL;71,5;81;FININVEST FC;1-3;;;;;;
CM MINNESOTA;71;67;GORGEOUS FC;1-1;;;;;;
PINK PANTHER;71,5;81,5;I FANALINI;1-3;;;;;;
3ª Giornata lega;;5ª Giornata serie a;;;;;;;;
NIENTE MALE;71,5;61,5;PINK PANTHER;1-0;;;;;;
I FANALINI;80;77,5;ALNITAKERS;3-2;;;;;;
GORGEOUS FC;73,5;67;OTTAVO;2-1;;;;;;
CM MINNESOTA;68,5;82;TURKISH PIZZA&KEBAB DI USLU ISMAIL;1-3;;;;;;
KAPADOKYA  FC;65,5;69,5;FININVEST FC;0-1;;;;;;
4ª Giornata lega;;6ª Giornata serie a;;;;;;;;
OTTAVO;72,5;63,5;CM MINNESOTA;2-0;;;;;;
FININVEST FC;73,5;60;I FANALINI;2-0;;;;;;
ALNITAKERS;67;71;NIENTE MALE;1-1;;;;;;
TURKISH PIZZA&KEBAB DI USLU ISMAIL;76,5;65,5;KAPADOKYA  FC;2-0;;;;;;
PINK PANTHER;81;70,5;GORGEOUS FC;3-1;;;;;;
5ª Giornata lega;;7ª Giornata serie a;;;;;;;;
NIENTE MALE;68;65,5;FININVEST FC;1-0;;;;;;
I FANALINI;74;65,5;KAPADOKYA  FC;2-0;;;;;;
OTTAVO;63,5;64,5;TURKISH PIZZA&KEBAB DI USLU ISMAIL;0-0;;;;;;
GORGEOUS FC;68;74;ALNITAKERS;1-2;;;;;;
CM MINNESOTA;68;68,5;PINK PANTHER;1-1;;;;;;
6ª Giornata lega;;8ª Giornata serie a;;;;;;;;
FININVEST FC;75;73;GORGEOUS FC;2-2;;;;;;
ALNITAKERS;75,5;69;CM MINNESOTA;2-1;;;;;;
TURKISH PIZZA&KEBAB DI USLU ISMAIL;68;68;I FANALINI;1-1;;;;;;
PINK PANTHER;68;62;OTTAVO;1-0;;;;;;
KAPADOKYA  FC;63,5;64;NIENTE MALE;0-0;;;;;;
7ª Giornata lega;;9ª Giornata serie a;;;;;;;;
NIENTE MALE;61,5;65;I FANALINI;0-0;;;;;;
OTTAVO;73,5;75;ALNITAKERS;2-2;;;;;;
GORGEOUS FC;81;62,5;KAPADOKYA  FC;3-0;;;;;;
CM MINNESOTA;76,5;63,5;FININVEST FC;2-0;;;;;;
PINK PANTHER;78,5;71,5;TURKISH PIZZA&KEBAB DI USLU ISMAIL;3-1;;;;;;
8ª Giornata lega;;10ª Giornata serie a;;;;;;;;
NIENTE MALE;59,5;75;TURKISH PIZZA&KEBAB DI USLU ISMAIL;0-2;;;;;;
I FANALINI;80,5;70;GORGEOUS FC;3-1;;;;;;
FININVEST FC;79,5;66;OTTAVO;3-1;;;;;;
ALNITAKERS;76,5;62,5;PINK PANTHER;2-0;;;;;;
KAPADOKYA  FC;80;70,5;CM MINNESOTA;3-1;;;;;;
9ª Giornata lega;;11ª Giornata serie a;;;;;;;;
OTTAVO;67,5;74,5;KAPADOKYA  FC;1-2;;;;;;
GORGEOUS FC;59,5;61,5;NIENTE MALE;0-0;;;;;;
TURKISH PIZZA&KEBAB DI USLU ISMAIL;66,5;76,5;ALNITAKERS;1-2;;;;;;
CM MINNESOTA;69;70;I FANALINI;1-1;;;;;;
PINK PANTHER;69,5;71,5;FININVEST FC;1-1;;;;;;
10ª Giornata lega;;12ª Giornata serie a;;;;;;;;
CM MINNESOTA;67;76,5;NIENTE MALE;1-2;;;;;;
OTTAVO;74;72;I FANALINI;2-2;;;;;;
TURKISH PIZZA&KEBAB DI USLU ISMAIL;83,5;79,5;GORGEOUS FC;3-3;;;;;;
ALNITAKERS;77,5;71;FININVEST FC;2-1;;;;;;
PINK PANTHER;61;71,5;KAPADOKYA  FC;0-1;;;;;;
11ª Giornata lega;;13ª Giornata serie a;;;;;;;;
NIENTE MALE;61;68,5;OTTAVO;0-1;;;;;;
KAPADOKYA  FC;75,5;75;ALNITAKERS;2-2;;;;;;
FININVEST FC;66;76;TURKISH PIZZA&KEBAB DI USLU ISMAIL;1-2;;;;;;
GORGEOUS FC;80,5;75;CM MINNESOTA;3-2;;;;;;
I FANALINI;82,5;70,5;PINK PANTHER;3-1;;;;;;
12ª Giornata lega;;14ª Giornata serie a;;;;;;;;
PINK PANTHER;83;64;NIENTE MALE;3-0;;;;;;
ALNITAKERS;67,5;70;I FANALINI;1-1;;;;;;
OTTAVO;71;70;GORGEOUS FC;1-1;;;;;;
TURKISH PIZZA&KEBAB DI USLU ISMAIL;64;66;CM MINNESOTA;0-1;;;;;;
FININVEST FC;71,5;81;KAPADOKYA  FC;1-3;;;;;;
13ª Giornata lega;;15ª Giornata serie a;;;;;;;;
CM MINNESOTA;64,5;72;OTTAVO;0-2;;;;;;
I FANALINI;62,5;78;FININVEST FC;0-3;;;;;;
NIENTE MALE;70,5;71;ALNITAKERS;1-1;;;;;;
KAPADOKYA  FC;63,5;68;TURKISH PIZZA&KEBAB DI USLU ISMAIL;0-1;;;;;;
GORGEOUS FC;74;68;PINK PANTHER;2-1;;;;;;
14ª Giornata lega;;16ª Giornata serie a;;;;;;;;
FININVEST FC;70,5;75,5;NIENTE MALE;1-2;;;;;;
KAPADOKYA  FC;76,5;71,5;I FANALINI;2-1;;;;;;
TURKISH PIZZA&KEBAB DI USLU ISMAIL;68,5;75,5;OTTAVO;1-2;;;;;;
ALNITAKERS;69,5;70;GORGEOUS FC;1-1;;;;;;
PINK PANTHER;69,5;81,5;CM MINNESOTA;1-3;;;;;;
15ª Giornata lega;;17ª Giornata serie a;;;;;;;;
GORGEOUS FC;62,5;78,5;FININVEST FC;0-3;;;;;;
CM MINNESOTA;83,5;79,5;ALNITAKERS;3-3;;;;;;
I FANALINI;70,5;63,5;TURKISH PIZZA&KEBAB DI USLU ISMAIL;1-0;;;;;;
OTTAVO;68;82;PINK PANTHER;1-3;;;;;;
NIENTE MALE;68;70,5;KAPADOKYA  FC;1-1;;;;;;
16ª Giornata lega;;18ª Giornata serie a;;;;;;;;
I FANALINI;70,5;66;NIENTE MALE;1-1;;;;;;
ALNITAKERS;64;67,5;OTTAVO;0-1;;;;;;
KAPADOKYA  FC;79;79;GORGEOUS FC;3-3;;;;;;
FININVEST FC;69;67;CM MINNESOTA;1-1;;;;;;
TURKISH PIZZA&KEBAB DI USLU ISMAIL;68,5;63,5;PINK PANTHER;1-0;;;;;;
17ª Giornata lega;;19ª Giornata serie a;;;;;;;;
TURKISH PIZZA&KEBAB DI USLU ISMAIL;64,5;61,5;NIENTE MALE;0-0;;;;;;
GORGEOUS FC;68,5;72,5;I FANALINI;1-2;;;;;;
