Classifica FANTA LEGA-CULO 8.0;;;;;;;;;;;
Pos;Squadra;;G;V;N;P;Gf;Gs;Dr;Pt.;Pt. Totali
1;PINK PANTHER;;36;18;7;11;67;44;23;61;2641,5
2;KAPADOKYA  FC;;36;14;12;10;56;53;3;54;2608
3;ALNITAKERS;;36;13;14;9;59;57;2;53;2617,5
4;TURKISH PIZZA&KEBAB DI USLU ISMAIL;;36;15;8;13;46;48;-2;53;2549
5;FININVEST FC;;36;14;7;15;55;54;1;49;2592
6;OTTAVO;;36;13;10;13;48;45;3;49;2529
7;I FANALINI;;36;11;13;12;42;49;-7;46;2476
8;CM MINNESOTA;;36;11;9;16;50;57;-7;42;2562
9;GORGEOUS FC;;36;9;13;14;55;62;-7;40;2577
10;NIENTE MALE;;36;9;13;14;34;43;-9;40;2456
