Rose lega FANTA LEGA-CULO;;;;;;;;
https://leghe.fantacalcio.it/fanta-lega-culo;;;;;;;;
* Calciatori non più in campionato - Data download 06/07/2026;;;;;;;;
;;;;;;;;
FININVEST FC;;;;;;;;
Ruolo;Calciatore;Squadra;Costo;;;;;
P;Falcone;Lec;10;;;;;
P;Caprile;Cag;3;;;;;
P;Butez;Com;20;;;;;
D;Mina;Cag;2;;;;;
D;Gutierrez;Nap;16;;;;;
D;Dumfries;Int;5;;;;;
D;Dodò;Fio;38;;;;;
D;Bisseck;Int;3;;;;;
D;Idzes;Sas;1;;;;;
D;Ramon;Com;6;;;;;
D;Wesley;Rom;31;;;;;
C;Elmas;Nap;3;;;;;
C;Saelemaekers;Mil;26;;;;;
C;Brescianini;Fio;1;;;;;
C;Caqueret;Com;5;;;;;
C;Casadei;Tor;8;;;;;
C;Isaksen;Laz;31;;;;;
C;Rowe;Bol;4;;;;;
C;Atta;Udi;20;;;;;
A;Nkunku;Mil;28;;;;;
A;Soulè;Rom;59;;;;;
A;Krstovic;Ata;51;;;;;
A;Castro S.;Bol;34;;;;;
A;Kilicsoy;Cag;36;;;;;
A;Ratkov;Laz;21;;;;;
Crediti Residui: 0;;;;;;;;
;;;;;;;;
NIENTE MALE;;;;;;;;
Ruolo;Calciatore;Squadra;Costo;;;;;
P;Gollini;Rom;1;;;;;
P;Svilar;Rom;65;;;;;
P;Zelezny;Rom;1;;;;;
D;Luperto;Cre;1;;;;;
D;Buongiorno;Nap;15;;;;;
D;Pellegrini Lu.;Laz;1;;;;;
D;Di Lorenzo;Nap;43;;;;;
D;Diego Carlos;Com;1;;;;;
D;Gila;Laz;7;;;;;
D;Beukema;Nap;4;;;;;
D;Bartesaghi;Mil;17;;;;;
C;Odgaard;Bol;38;;;;;
C;Rovella;Laz;2;;;;;
C;Fofana Y.;Mil;1;;;;;
C;Thuram K.;Juv;39;;;;;
C;Konè M.;Rom;34;;;;;
C;Baldanzi;Gen;1;;;;;
C;Pierotti;Lec;1;;;;;
C;Karlstrom;Udi;1;;;;;
A;Kean;Fio;125;;;;;
A;Pedro;Laz;1;;;;;
A;Piccoli;Fio;1;;;;;
A;Orban G.;Ver;1;;;;;
A;Meister;Pis;1;;;;;
A;Esposito F.P.;Int;36;;;;;
Crediti Residui: 0;;;;;;;;
;;;;;;;;
OTTAVO;;;;;;;;
Ruolo;Calciatore;Squadra;Costo;;;;;
P;Skorupski;Bol;32;;;;;
P;De Gea;Fio;6;;;;;
P;Muric;Sas;1;;;;;
D;Zappacosta;Ata;4;;;;;
D;Pezzella Giu.;Cre;1;;;;;
D;Gosens;Fio;40;;;;;
D;Martin;Gen;21;;;;;
D;Zappa;Cag;1;;;;;
D;Cambiaso;Juv;40;;;;;
D;Valle;Com;3;;;;;
D;Veiga D.;Lec;1;;;;;
C;De Bruyne;Nap;1;;;;;
C;Matic;Sas;2;;;;;
C;Tramoni M.;Pis;11;;;;;
C;Vlasic;Tor;27;;;;;
C;Ederson D.S.;Ata;15;;;;;
C;Miretti;Juv;1;;;;;
C;Perrone;Com;14;;;;;
C;Baturina;Com;2;;;;;
A;Dybala;Rom;44;;;;;
A;Martinez L.;Int;166;;;;;
A;Dia;Laz;9;;;;;
A;Openda;Juv;10;;;;;
A;Rodriguez Je.;Com;1;;;;;
A;Stulic;Lec;9;;;;;
Crediti Residui: 0;;;;;;;;
;;;;;;;;
I FANALINI;;;;;;;;
Ruolo;Calciatore;Squadra;Costo;;;;;
P;Terracciano;Mil;1;;;;;
P;Maignan;Mil;60;;;;;
P;Torriani;Mil;1;;;;;
D;Acerbi;Int;8;;;;;
D;Djimsiti;Ata;1;;;;;
D;Rrahmani;Nap;6;;;;;
D;Hermoso;Rom;4;;;;;
D;Terracciano F.;Cre;1;;;;;
D;Kelly L.;Juv;9;;;;;
D;Floriani Mussolini;Cre;5;;;;;
D;Bernasconi;Ata;2;;;;;
C;Cristante;Rom;4;;;;;
C;Orsolini;Bol;82;;;;;
C;Pulisic;Mil;85;;;;;
C;Zaniolo;Udi;11;;;;;
C;Malinovskyi;Gen;15;;;;;
C;Fagioli;Fio;2;;;;;
C;Maldini;Laz;10;;;;;
C;Iling Junior;Pis;1;;;;;
A;Morata;Com;1;;;;;
A;Berardi;Sas;83;;;;;
A;Vardy;Cre;15;;;;;
A;Lukaku;Nap;23;;;;;
A;Vlahovic;Juv;1;;;;;
A;Colombo;Gen;4;;;;;
Crediti Residui: 0;;;;;;;;
;;;;;;;;
TURKISH PIZZA&KEBAB DI USLU ISMAIL;;;;;;;;
Ruolo;Calciatore;Squadra;Costo;;;;;
P;Sportiello;Ata;1;;;;;
P;Carnesecchi;Ata;62;;;;;
P;Okoye;Udi;2;;;;;
D;Spinazzola;Nap;22;;;;;
D;Marusic;Laz;3;;;;;
D;N'Dicka;Rom;6;;;;;
D;Gallo;Lec;1;;;;;
D;Bellanova;Ata;27;;;;;
D;Valeri;Par;15;;;;;
D;Lucumì;Bol;4;;;;;
D;Belghali;Ver;2;;;;;
C;Zaccagni;Laz;80;;;;;
C;Freuler;Bol;2;;;;;
C;Locatelli;Juv;6;;;;;
C;Barella;Int;42;;;;;
C;Nicolussi Caviglia;Par;1;;;;;
C;Zhegrova;Juv;1;;;;;
C;Fabbian;Fio;1;;;;;
C;Vergara;Nap;18;;;;;
A;Simeone;Tor;3;;;;;
A;Fullkrug;Mil;21;;;;;
A;Esposito Se.;Cag;15;;;;;
A;De Ketelaere;Ata;25;;;;;
A;Ferguson E.;Rom;10;;;;;
A;Pellegrino M.;Par;50;;;;;
Crediti Residui: 0;;;;;;;;
;;;;;;;;
ALNITAKERS;;;;;;;;
Ruolo;Calciatore;Squadra;Costo;;;;;
P;Audero;Cre;1;;;;;
P;Ravaglia F.;Bol;2;;;;;
P;Provedel;Laz;61;;;;;
D;Bastoni;Int;43;;;;;
D;Miranda J.;Bol;26;;;;;
D;Vojvoda;Com;4;;;;;
D;Vasquez;Gen;6;;;;;
D;Coco;Tor;1;;;;;
D;Palestra;Cag;1;;;;;
D;Solet;Udi;25;;;;;
D;Angori;Pis;3;;;;;
C;Zielinski;Int;29;;;;;
C;Mkhitaryan;Int;9;;;;;
C;McTominay;Nap;85;;;;;
C;Koopmeiners;Juv;1;;;;;
C;Frendrup;Gen;3;;;;;
C;Paz N.;Com;80;;;;;
C;Vandeputte;Cre;1;;;;;
C;Tourè I.;Pis;1;;;;;
A;Pinamonti;Sas;30;;;;;
A;Davis K.;Udi;9;;;;;
A;Vitinha O.;Gen;14;;;;;
A;Kuhn;Com;2;;;;;
A;Giovane;Nap;1;;;;;
A;Bowie;Ver;1;;;;;
Crediti Residui: 0;;;;;;;;
;;;;;;;;
GORGEOUS FC;;;;;;;;
Ruolo;Calciatore;Squadra;Costo;;;;;
P;Meret;Nap;66;;;;;
P;Milinkovic-Savic V.;Nap;10;;;;;
P;Contini;Nap;1;;;;;
D;Bremer;Juv;40;;;;;
D;Kabasele;Udi;1;;;;;
D;Gabbia;Mil;5;;;;;
D;Celik;Rom;13;;;;;
D;Baschirotto;Cre;5;;;;;
